id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
243081,"Living with style, apartment 2",1275846,Anna,Mitte,Brunnenstr. SÃ_d,52.5293,13.39084,Entire home/apt,120,1,165,17/02/19,1.99,2,133
243238,Blue Jewel in Green Borough,1276585,Katharina,Treptow - KÃ¶penick,Johannisthal,52.44596,13.49778,Entire home/apt,64,2,71,01/12/18,1.44,1,289
245744,Apartment in central Berlin,1289259,Martina,Mitte,Regierungsviertel,52.52198,13.39059,Entire home/apt,150,5,111,18/02/19,1.29,1,242
245781,1-room FewWo near Alexanderplatz,1289393,Hille,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52484,13.42447,Entire home/apt,60,2,86,14/02/19,1,3,227
245809,2-bedroom apartment Prenzlauer Berg,1289393,Hille,Pankow,Prenzlauer Berg Nord,52.54401,13.43987,Entire home/apt,76,2,37,10/02/19,0.46,3,251
245822,Guest apartment top city location,1289518,Anna,Charlottenburg-Wilm.,Neue KantstraÃŸe,52.50144,13.30578,Entire home/apt,39,200,13,01/01/17,0.15,1,342
245827,2-bedroom apartment Gendarmenmarkt,1289393,Hille,Mitte,Regierungsviertel,52.51155,13.40053,Entire home/apt,79,2,81,14/02/19,1.05,3,212
245991,World stroller's club 2,1290112,Wolfhard,Reinickendorf,West 2,52.58422,13.23114,Entire home/apt,25,30,4,31/01/19,0.06,2,190
246007,World stroller's club 1,1290112,Wolfhard,Reinickendorf,West 2,52.58203,13.23072,Entire home/apt,21,30,6,01/02/17,0.08,2,0
248192,Adorable apartment in the City Center of Berlin,662565,Gisella,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49782,13.34733,Entire home/apt,53,1,143,03/03/19,1.7,6,79
248375,Culture and shopping,1301421,Alexander,Charlottenburg-Wilm.,KantstraÃŸe,52.50823,13.31184,Private room,45,14,12,02/10/18,0.14,4,0
249220,1 room in an apartment in Berlin ,1305769,Laurence,Charlottenburg-Wilm.,BarstraÃŸe,52.48159,13.31364,Private room,45,2,5,21/07/16,0.11,1,0
249419,Studio to feel good Prenzlauerberg!,1306624,Au,Pankow,Helmholtzplatz,52.543,13.42487,Entire home/apt,95,3,154,10/02/19,1.76,1,271
250007,Exotic holiday apartment in Berlin,1310272,JÃ¶rg,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49487,13.35171,Entire home/apt,69,2,121,08/03/19,1.5,1,186
250023,Family- Apartment am KaDeWe 2,1310277,Claudia,Charlottenburg-Wilm.,DÃ_sseldorfer StraÃŸe,52.49771,13.33626,Entire home/apt,70,90,44,23/09/18,0.53,1,180
250067,Great 2bd apt perfect for a couple,1310454,Andrea,NeukÃ¶lln,ReuterstraÃŸe,52.48514,13.44386,Entire home/apt,55,4,3,10/06/15,0.04,1,0
250121,Cosy single room,1310755,Joe,Pankow,Prenzlauer Berg SÃ_dwest,52.53137,13.40813,Private room,45,3,6,11/01/15,0.07,4,360
250138,Nice double room,1310755,Joe,Pankow,Prenzlauer Berg SÃ_dwest,52.53098,13.40699,Private room,50,7,3,17/07/12,0.03,4,364
250171,Great Double bedroom,1310755,Joe,Pankow,Prenzlauer Berg SÃ_dwest,52.53027,13.40789,Private room,55,3,8,04/01/17,0.1,4,364
250253,Apartment: Luise in Berlin,1311309,Ute,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51874,13.30646,Entire home/apt,97,3,20,25/12/18,0.35,4,220
250376,142 mÂ_ = 1530 ftÂ_ â™¥LOFTâ™¥ROOMS in Friedrichshain,1312190,Davide,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51213,13.45229,Private room,175,2,94,02/08/18,1.08,2,140
250684,Lovely four bedroom,1310755,Joe,Pankow,Prenzlauer Berg SÃ_dwest,52.52997,13.4078,Private room,95,3,16,17/12/18,0.2,4,342
250687,Apollo Apartments 1,1310866,Ashraf,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.48493,13.36053,Entire home/apt,65,3,28,19/10/18,0.34,2,22
250704,Holiday Apartment with Garden,1314462,Otto,Tempelhof - SchÃ¶neberg,Marienfelde,52.42298,13.37529,Entire home/apt,60,3,18,13/10/18,0.3,1,296
250707,Apartment: Friederike in Berlin,1311309,Ute,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51851,13.30839,Entire home/apt,58,3,4,07/12/16,0.06,4,246
250729,Apartment: Grazer GÃ_rten in Berlin,1311309,Ute,Tempelhof - SchÃ¶neberg,Friedenau,52.46904,13.34768,Entire home/apt,72,3,3,27/01/19,0.12,4,202
250753,Apartment: GroÃŸer KurfÃ_rst,1311309,Ute,Mitte,Tiergarten SÃ_d,52.50026,13.36466,Entire home/apt,97,3,7,23/10/18,0.47,4,189
251398,Modern Room in a nice Environment,1318500,Renate,Spandau,HeerstraÃŸe Nord,52.51604,13.17573,Private room,40,1,31,17/02/19,0.38,1,301
252664,COZY ROOFTOP APARTM.| QUIET&CENTRAL,1326442,Berliner,Mitte,Brunnenstr. Nord,52.53935,13.39111,Entire home/apt,79,4,53,02/01/19,0.59,1,341
252699,*** modern-cozy-design apartment ,1326695,Stina,Friedrichshain-Kreuzberg,Karl-Marx-Allee-SÃ_d,52.51461,13.45033,Entire home/apt,56,60,2,09/03/15,0.02,1,230
