id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8420271,"Nice place, trendy Prenzlauer Berg",5072122,Hardy,Pankow,Helmholtzplatz,52.5422,13.42345,Entire home/apt,120,4,10,02/01/19,0.29,1,144
8420735,NeukÃ¶lln - schÃ¶nes Zimmer in 2-er WG,44349864,Jerome,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.46608,13.43294,Private room,26,2,5,02/01/18,0.29,1,0
8420919,Cosy room in nice Neighborhood,44350311,Alexander,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.50032,13.44122,Private room,50,2,2,02/11/15,0.05,1,0
8421878,Cosy 1-room apartment in Berlin,18456475,Frances,Mitte,Parkviertel,52.54768,13.35505,Entire home/apt,55,2,0,,,1,0
8423807,4-Zimmer Maisonettewohnung,44363182,Friederike,Pankow,Prenzlauer Berg SÃ_d,52.53214,13.43517,Entire home/apt,100,2,0,,,1,0
8426119,groÃŸer heller Altbau im Kaskelkiez,10709982,Nelli,Lichtenberg,Neu Lichtenberg,52.50544,13.47979,Entire home/apt,45,14,0,,,1,0
8426590,Spacious & bright room in NeukÃ¶lln,44376821,Sarah,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.48244,13.43122,Shared room,30,2,2,13/10/15,0.05,1,0
8426997,Cozy & lovely apartment NeukÃ¶lln,16322956,Len,NeukÃ¶lln,ReuterstraÃŸe,52.48644,13.44618,Entire home/apt,55,5,11,14/11/18,0.26,1,0
8432917,Cozy room in our Altbauwohnung,9506341,Christiane,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.47256,13.4329,Private room,29,4,5,28/08/16,0.12,1,111
8433730,"ruhige, helle Wohnung Bergmannkiez",44408086,Konstanze,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49358,13.3948,Private room,100,1,0,,,1,0
8434395,Cosy bedroom in Friedrichshain,44409698,Thomas,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50892,13.45916,Private room,30,1,3,28/09/15,0.07,1,0
8437693,Authentic apartment with charakter,44426935,Arno,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.4983,13.43018,Entire home/apt,25,7,3,22/10/15,0.07,1,0
8439923,Spacious apartment in SchÃ¶neberg,15034437,Ly Dieu,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.4877,13.35335,Entire home/apt,48,14,1,31/12/15,0.03,1,0
8442227,am Schloss Charlottenburg,20519185,Ulrike,Charlottenburg-Wilm.,SchloÃŸ Charlottenburg,52.51674,13.29294,Private room,42,3,1,30/03/16,0.03,1,0
8442867,"Beautiful, central room with private bathroom",4507024,David,Mitte,Alexanderplatz,52.52425,13.40095,Private room,75,1,4,15/06/17,0.18,1,0
8448439,Mitten in Berlin,37764239,Nadine,Mitte,Alexanderplatz,52.52113,13.41966,Private room,30,2,9,22/06/18,0.21,1,0
8448939,SchÃ¶ne 2-Zimmer Altbauwohnung im Prenzlauer Berg,34503925,Philipp,Pankow,Prenzlauer Berg SÃ_d,52.53161,13.43109,Entire home/apt,79,3,15,01/01/19,0.36,1,0
8450181,"Helle 20mÂ_, zentru (Hidden by Airbnb) ah, SÃ_dbalkon",44484956,Laura,Mitte,Wedding Zentrum,52.5401,13.35608,Private room,24,4,0,,,1,0
8450482,"bright, central 2BD, high ceilings",13452519,Stefanie,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51594,13.4708,Entire home/apt,95,3,3,17/06/18,0.07,2,0
8450995,Your quiet corner in Prenzlauerberg,13491198,Till,Pankow,Helmholtzplatz,52.54201,13.42281,Entire home/apt,59,3,6,05/06/18,0.55,1,0
8453370,"Nice and quiet room, NeukÃ¶lln",33297959,Sophie,NeukÃ¶lln,Rixdorf,52.47817,13.45327,Private room,35,2,49,04/11/18,1.18,1,358
8453763,Newly renovated Kiez-flat NeukÃ¶lln,37535815,Manuel,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.48251,13.42936,Private room,120,1,7,08/09/18,0.17,1,0
8455942,"Huge, sunny room (U-bahn BoddinstraÃŸe NeukÃ¶lln)",44510867,Holly,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.48147,13.42569,Private room,40,3,9,26/08/17,0.28,1,0
8457400,Beautiful room in Xberg,44517193,Anzhelika,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50242,13.4278,Private room,29,6,9,07/09/18,0.22,1,0
8462220,Cosy Apartment Prenzlauer Berg,3035951,Jun,Pankow,Prenzlauer Berg SÃ_d,52.53442,13.43336,Entire home/apt,79,3,202,15/02/19,4.86,1,234
8466037,Shared room in culturally wedding,44557574,Larissa,Mitte,Wedding Zentrum,52.55287,13.37994,Private room,22,2,2,03/01/16,0.05,1,0
8466794,GemÃ_tliche Wohnung Friedrichshain,44587984,Alexander,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51072,13.47368,Entire home/apt,50,2,7,09/02/16,0.17,1,0
8468463,"Ruhig, grÃ_n & trotzdem nah am Puls",44597161,Franziska,Treptow - KÃ¶penick,Adlershof,52.43438,13.54375,Private room,30,2,1,09/10/15,0.02,1,7
8468968,"Cozy room in shared flat, Kreuzberg",44598833,Robin,Friedrichshain-Kreuzberg,SÃ_dliche Friedrichstadt,52.49839,13.41864,Private room,28,3,6,29/09/16,0.16,1,0
8469891,Modern Loft in Kreuzberg,44604265,Alex,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50265,13.43868,Entire home/apt,129,2,123,11/02/19,3.43,1,197
8472885,Room with dream loft bed_Mitte,44583899,Madrilena,Pankow,Prenzlauer Berg SÃ_d,52.52928,13.42307,Private room,39,3,3,27/07/16,0.08,1,0
8475065,"Bright, Cosy room in Kreuzberg",8177571,Francesca,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49934,13.43989,Private room,18,13,0,,,1,0
8479134,"BERLIN SUEDWEST IM GRÃœNEN, Zehlendorf",35619103,Ade,Steglitz - Zehlendorf,Zehlendorf  Nord,52.43685,13.22372,Entire home/apt,69,4,21,19/02/19,0.5,1,0
8480119,Doble bedroom in shared flat,44661538,Isabel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49803,13.37889,Private room,45,3,1,08/10/15,0.02,1,0
8481531,"Kreuzberg, Berlin - ca. 1880 - BEAUTIFUL",743741,Joseph,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49903,13.43634,Entire home/apt,129,4,30,18/02/19,0.9,1,85
8482101,1 Zimmerwohnung in Berlin NeukÃ¶lln,44668946,Friederieke,NeukÃ¶lln,ReuterstraÃŸe,52.48792,13.44023,Entire home/apt,45,14,0,,,1,0
8482224,Altbauwohnung in Prenzlauer Berg,29435034,Louise,Pankow,Prenzlauer Berg Nord,52.54514,13.42592,Private room,27,1,1,14/10/15,0.02,1,0
8484404,Cosy Flat Center of Berlin-West,44683993,Kirki,Charlottenburg-Wilm.,Neue KantstraÃŸe,52.50747,13.29895,Entire home/apt,85,2,25,01/01/19,0.6,3,197
8490749,quit and cosy Room in NeukÃ¶lln,33502110,Christine,NeukÃ¶lln,ReuterstraÃŸe,52.48532,13.43309,Private room,35,1,0,,,1,0
8493232,Great room Charlottenb. near forest in 4 room flat,44728322,Sylvia,Charlottenburg-Wilm.,Heerstrasse,52.50568,13.24733,Private room,49,2,51,23/02/19,1.23,1,305
8494861,GemÃ_tliche Altbauwohnung NeukÃ¶lln,44735331,Kai,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.47635,13.42971,Private room,31,1,2,10/10/15,0.05,1,0
8495375,Vacation apartment on the KÃ¶penick old town island,6639099,Familie Claus Jagdhuhn Roch,Treptow - KÃ¶penick,Altstadt-Kietz,52.44632,13.57961,Entire home/apt,50,2,71,22/01/19,1.73,1,183
8495779,"ï¸è CENTRAL room | Shopping, Culture, Nightlife  ï¸è",22926616,Salim,Mitte,Regierungsviertel,52.51191,13.38081,Private room,45,2,47,11/08/18,1.13,1,0
8500483,Perfect Location in NeukÃ¶lln,1831770,Johannes,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.48269,13.42517,Entire home/apt,85,2,13,03/03/19,0.31,1,41
8501033,Wonderful nice and open luxury flat,31705144,Thomas,Lichtenberg,Neu Lichtenberg,52.5048,13.47625,Entire home/apt,145,5,19,02/12/18,0.64,1,73
8501499,"GroÃŸes, helles Zimmer in top Lage !",21721626,Timon,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.48575,13.35647,Private room,25,2,2,23/11/15,0.05,1,0
8501520,Private Bathroom and Room in hip City Centre,44764833,Ute,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49504,13.41955,Private room,45,1,40,25/12/18,0.95,1,310
8501615,Beautiful room in Wilmersdorf,41286554,Luise,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.49022,13.32777,Private room,25,3,6,26/09/17,0.14,1,0
8503313,,37542344,Carl,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49579,13.42707,Private room,40,1,0,,,1,0
8503821,20m2 room in shared flat [Berlin],44778624,Jane,Mitte,Brunnenstr. SÃ_d,52.53343,13.39465,Private room,50,1,1,07/11/15,0.02,1,0
8503975,"NeukÃ¶lln, nice room",35700774,Konstantin,NeukÃ¶lln,Schillerpromenade,52.4654,13.42721,Private room,30,25,4,10/11/18,0.13,20,98
8506462,Prenzlauer Allee,6832595,Stefan,Pankow,Prenzlauer Berg SÃ_d,52.53809,13.4246,Entire home/apt,65,1,5,24/01/16,0.12,1,0
8511524,Private room in spacious apartment fantastic area,44819858,James,NeukÃ¶lln,ReuterstraÃŸe,52.48778,13.43322,Private room,40,10,5,05/01/16,0.12,1,279
8513041,Double room Berlin center +2 bikes free of charge,44827582,Stefan,Mitte,Moabit Ost,52.51896,13.35743,Private room,70,1,161,21/10/18,3.83,1,0
8517655,"""Nah und doch (nicht) so fern""",44848794,Alan,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.46437,13.44581,Private room,20,2,2,12/02/17,0.08,1,0
8520472,Room in beautiful Berlin-Friedrichshain,22519554,Felix,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51258,13.46542,Private room,35,2,43,23/02/19,1.02,1,3
8520834,Newly furnished room to rent,3614519,Abi,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49915,13.36067,Private room,35,2,14,07/02/19,0.35,1,0
8521960,Ancient urban villa in magic garden,24707160,Andree,Steglitz - Zehlendorf,Drakestr.,52.4378,13.29909,Entire home/apt,50,5,1,03/01/16,0.03,1,0
8526256,Spaceous flat- center of WestBerlin,4616252,Vincent,Charlottenburg-Wilm.,DÃ_sseldorfer StraÃŸe,52.49493,13.3358,Entire home/apt,85,60,28,20/10/18,0.68,1,293
8529085,"6-Bed mixed dorm ,Shared Bathroom 4",8250486,Singer Hostel Berlin,Mitte,Alexanderplatz,52.516,13.42462,Shared room,19,1,61,23/02/19,1.45,49,169
8533526,BIG and CALM STUDIO,16876647,David,NeukÃ¶lln,Schillerpromenade,52.47623,13.42322,Entire home/apt,45,1,0,,,1,0
8534059,Sunny flat in NeukÃ¶lln,11844012,Mira,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.47129,13.43756,Entire home/apt,43,6,5,25/09/16,0.12,1,0
8537193,"Nice, bright room in calm street",44939935,Max,Mitte,Moabit West,52.52931,13.33618,Private room,24,6,14,28/06/18,0.81,1,0
8537772,Feel comfortable at ease in a central location,21697870,Tim,Tempelhof - SchÃ¶neberg,Friedenau,52.47419,13.32147,Entire home/apt,80,2,140,05/03/19,3.91,1,236
8542664,B&B Zimmer an der Dahme,44973160,Cristian,Treptow - KÃ¶penick,KÃ¶penick-SÃ_d,52.41636,13.58695,Private room,45,1,0,,,1,179
8543792,Sunny Room Close to FU Berlin w/ Roof-Deck Terrace,42653560,Ulrike,Steglitz - Zehlendorf,Drakestr.,52.42767,13.30474,Private room,57,1,27,28/09/17,0.73,1,36
8545234,beautiful room in hotspot location Prenzlauer Berg,7302685,Sophie,Pankow,Prenzlauer Berg SÃ_dwest,52.54054,13.40951,Private room,25,3,26,05/01/19,0.62,1,10
8545396,Altbau Whg. nahe Rosenthaler Platz,43847832,Madita,Mitte,Brunnenstr. SÃ_d,52.53528,13.39993,Entire home/apt,75,1,0,,,1,0
8546082,Nice Room central Kreuzberg Berlin (Canal),31190604,Arthur,Friedrichshain-Kreuzberg,sÃ_dliche Luisenstadt,52.49657,13.42129,Private room,59,2,54,01/03/19,1.3,2,241
8547456,Apartment in Friedrichshain,13912387,Jonas,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52307,13.44782,Entire home/apt,120,1,1,13/07/17,0.05,1,0
8547488,1 room in lovely Berlin style flat,43613615,Asselya,Mitte,Parkviertel,52.54285,13.34821,Private room,15,5,0,,,1,0
8548581,GemÃ_tliches Altbauzimmer mit Balkon,45000692,Elena,Charlottenburg-Wilm.,SchloÃŸ Charlottenburg,52.51215,13.28727,Private room,27,1,0,,,1,0
8553465,Cozy central apartment,45024681,Christina,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.481,13.36117,Entire home/apt,40,3,13,03/03/19,0.36,1,4
8554459,"NeukÃ¶lln ""hautnah"" - comfy place in Reuterkiez",43920655,Katie,NeukÃ¶lln,ReuterstraÃŸe,52.48675,13.43021,Private room,28,2,5,27/09/16,0.12,1,0
8554676,Cosy Studio / heart of Prenzla,3709344,Carlos WingYat,Pankow,Prenzlauer Berg SÃ_dwest,52.53387,13.40868,Entire home/apt,48,3,1,13/10/15,0.02,1,0
8559303,Ganz tolle vierer-WG,45050399,Alexandra,NeukÃ¶lln,Rixdorf,52.47181,13.45179,Private room,20,1,1,04/10/15,0.02,1,0
8559609,Stillvoller Altbau in Kreuzberg,45051506,Laura,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48572,13.37648,Entire home/apt,90,2,0,,,1,0
8560751,"Big, beautiful + good located apartment + balcony",45055089,Melanie,Pankow,Prenzlauer Berg SÃ_d,52.534,13.428,Private room,52,1,14,30/05/17,0.42,1,0
8562026,cosy place in the heart of NeukÃ¶lln,40957972,Andrea,NeukÃ¶lln,Rixdorf,52.47704,13.44238,Entire home/apt,49,2,2,10/10/15,0.05,1,0
8564167,"Spacious, bright room in the heart of Berlin",16712308,Moritz,Mitte,Alexanderplatz,52.52969,13.40457,Private room,69,6,26,17/12/17,0.74,1,47
8564195,Double Room in Berlin NeukÃ¶lln,42380726,Gerrit,NeukÃ¶lln,Rixdorf,52.4743,13.45206,Private room,20,5,7,28/06/18,0.17,1,0
8567132,Spacious Private Room in Kreuzberg,45086811,Jigyasa,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48705,13.3765,Private room,18,20,0,,,1,0
8567160,Nice room in quiet central area,6875017,Caspar,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.48802,13.36058,Private room,30,3,4,07/06/17,0.15,1,0
8568404,Explore the East,430118,Matthew And Christina,Lichtenberg,Alt-Lichtenberg,52.51768,13.48969,Private room,20,2,3,20/08/17,0.11,1,0
8568509,Flat with balcony in Wedding,36364923,Ma,Mitte,Parkviertel,52.55884,13.33479,Entire home/apt,45,1,0,,,1,0
8573093,Zimmer in Pankow,41302121,Dagmar,Pankow,Buchholz,52.59814,13.42865,Private room,28,1,25,07/09/18,0.77,1,236
8573194,Charmante Wohnung im Herzen Berlins,21951216,Beatrice,Mitte,Wedding Zentrum,52.53938,13.35738,Entire home/apt,60,2,3,28/03/16,0.07,1,0
8574681,One room in beautiful flat next to Spree!,6990708,Lisa,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.49799,13.46191,Private room,45,2,12,14/07/17,0.29,1,0
8575274,Cosy and quiet flat in NeukÃ¶lln,13005761,Nina,NeukÃ¶lln,Schillerpromenade,52.46745,13.42339,Entire home/apt,50,3,1,20/12/17,0.07,1,0
8575398,big comfy room in Friedrichshain,45131917,,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.51244,13.45389,Private room,38,1,1,28/09/15,0.02,1,0
8576253,Cozy flat in trendy Sprengelkiez,2526209,Eleni,Mitte,Wedding Zentrum,52.54192,13.35603,Private room,26,3,4,03/07/16,0.1,1,0
8576792,Single Room shared Bathroom,13881181,Alina,Steglitz - Zehlendorf,SchloÃŸstr.,52.4652,13.32537,Private room,29,6,22,04/01/19,0.57,8,342
8576964,Berlin-City-Appartments Comfort mit  Dusche/WC,13881181,Alina,Tempelhof - SchÃ¶neberg,Friedenau,52.47347,13.33431,Private room,39,6,23,19/02/19,0.57,8,315
8579546,Sunny location at Prenzlauer Berg,45152962,Sebastian,Pankow,Prenzlauer Berg SÃ_dwest,52.53332,13.4156,Entire home/apt,40,15,1,01/03/16,0.03,1,0
8584461,Wohnen im GrÃ_nen trotzdem City Nah,45179348,Rosemarie,Charlottenburg-Wilm.,Heerstrasse,52.50901,13.22054,Entire home/apt,60,1,0,,,1,0
8586427,Sunrise observatory @ Marheineke Pl,20146240,Ingmar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48918,13.3947,Entire home/apt,45,30,0,,,1,0
8586752,Perfect apartment in Berlin Mitte,21365233,Maija,Mitte,Brunnenstr. SÃ_d,52.52841,13.39253,Entire home/apt,80,2,1,31/03/16,0.03,1,0
8587032,"Large, sunny appartment with balcony",12042475,Stefan,Pankow,Prenzlauer Berg Nordwest,52.55026,13.40328,Entire home/apt,60,33,0,,,1,11
8588917,cozy quite room for one person,45201339,Amelie,Pankow,Prenzlauer Berg Ost,52.52479,13.45504,Private room,50,1,0,,,1,0
8589516,schÃ¶ne schnuckelige 2-Zi-Wg. Prenzl,45204224,Sabine,Pankow,Prenzlauer Berg SÃ_d,52.53819,13.42689,Entire home/apt,60,5,11,24/10/18,0.28,1,5
8590551,Quiet & Comfy in NeukÃ¶lln,45209606,Michael,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.46778,13.4431,Entire home/apt,50,1,5,17/09/16,0.12,1,0
8590560,Huge room w/ balcony in prenzlauer,27318209,Ron,Pankow,Prenzlauer Berg Ost,52.53771,13.43624,Private room,30,4,0,,,1,0
8590717,big&cosy room in Berlin,43217295,Dimitra,Mitte,Wedding Zentrum,52.54043,13.35103,Private room,16,4,2,19/08/18,0.05,2,0
8591092,Berlin Hauptbahnhof 5 Min - Room,45212257,Lina,Mitte,Moabit Ost,52.52603,13.36358,Private room,35,1,33,18/01/18,0.83,1,101
8591441,Sunny private room in modern City-West appartement,3193109,Dima,Charlottenburg-Wilm.,DÃ_sseldorfer StraÃŸe,52.49471,13.32198,Private room,60,1,64,11/02/19,1.54,2,127
8591777,Spacious & quiet room with balcony,42884245,Ilka,Mitte,Osloer StraÃŸe,52.55915,13.37559,Private room,30,3,32,27/07/18,0.77,2,0
8592011,Nice Studio Apartment near KaDeWe,8630195,Claudia,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.50173,13.3421,Entire home/apt,48,2,14,08/03/17,0.34,1,0
8592135,,43217295,Dimitra,Mitte,Wedding Zentrum,52.54158,13.35115,Private room,15,5,1,13/09/16,0.03,2,0
8599428,GroÃŸes Zimmer im Wedding,45254468,Sarah,Mitte,Osloer StraÃŸe,52.55418,13.38484,Private room,20,3,16,12/05/18,0.45,1,0
8599489,Sunny balcony room- super zentral,33590660,Anna,Pankow,Pankow SÃ_d,52.56613,13.41092,Private room,33,1,25,08/03/19,0.77,2,352
8599638,sunny 2-rooms for 2-3 in Kreuzberg,45224229,Karina,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.49738,13.42,Entire home/apt,60,2,7,06/02/17,0.19,1,0
8599711,bright room in shared flat,40212664,Samuel,Charlottenburg-Wilm.,Neue KantstraÃŸe,52.50701,13.30099,Private room,25,1,1,22/10/15,0.02,5,0
8601190,"GroÃŸes, einfaches Zimmer in sehr schÃ¶ner Gegend",994927,Esteban,Mitte,Moabit West,52.5245,13.33559,Private room,26,18,1,30/12/17,0.07,2,25
8601540,Apartment Kreuzberg/NeukÃ¶lln Berlin,45263200,NicolÃ¡s,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49044,13.41561,Entire home/apt,37,1,2,12/04/16,0.06,1,0
8602241,2 room apartment in NeukÃ¶lln,8782774,Momme,NeukÃ¶lln,Schillerpromenade,52.46538,13.43228,Entire home/apt,50,1,1,18/10/15,0.02,1,0
8603631,Best city Location of Kreuzberg,4640817,Chris,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49147,13.38979,Private room,52,2,213,03/03/19,5.1,2,72
8605761,Kreuzberg - 90 qm - 3 Betten - kinderfreundlich,45277060,Ralf,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50127,13.43037,Entire home/apt,85,5,2,17/12/18,0.34,1,15
8608114,"Cozy, quiet room",42884245,Ilka,Mitte,Osloer StraÃŸe,52.55949,13.37682,Private room,25,3,19,14/10/18,0.53,2,0
8608580,Nice Room with view,44182516,Yutta,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.48302,13.35949,Private room,35,4,6,04/04/17,0.15,1,0
8608584,Wohnung in Szeneecke Wedding,45289311,Andreas Daniel,Mitte,Brunnenstr. Nord,52.54537,13.3734,Private room,20,4,5,06/04/16,0.12,1,0
8611133,GroÃŸzÃ_gige Altbauwohnung nahe KaDeWe,8883766,Katharina,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49882,13.34865,Entire home/apt,70,1,2,28/09/17,0.05,1,0
8618545,Nice Appartment in Prenzlauer Berg,45337044,Min,Pankow,Prenzlauer Berg Nord,52.55094,13.41584,Entire home/apt,39,4,7,07/02/19,0.17,1,0
8619207,Creative/warm shared  Apartment in wedding,28136577,Adam,Mitte,Parkviertel,52.54823,13.34522,Private room,30,1,23,25/02/19,0.98,1,210
8619680,"large, sunny and central",45342773,Estella,Mitte,Moabit West,52.52855,13.33263,Private room,35,2,7,13/07/17,0.17,3,0
8620446,Charming Flat in a little old Building,45345963,Philipp,Pankow,WeiÃŸensee,52.55735,13.43168,Entire home/apt,38,6,5,27/11/16,0.16,1,0
8622008,Big bedroom in 108 cmÂ_ flat,500047,Emile,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48181,13.32635,Private room,38,1,0,,,1,0
8622788,Sweet Home Karl Marx!,2889662,Louis,NeukÃ¶lln,Rixdorf,52.47101,13.44169,Entire home/apt,50,6,16,01/01/19,0.39,1,221
8623680,Sunny n Cozy 17m2 room in NeukÃ¶lln,45322442,Pablo,NeukÃ¶lln,Rixdorf,52.4809,13.43674,Private room,21,1,1,07/10/15,0.02,1,0
8627795,"Cozy, Spacious & Stylish Apartment",31195020,Azi,Pankow,Prenzlauer Berg Nordwest,52.54819,13.40369,Entire home/apt,49,3,1,17/04/16,0.03,1,0
8628173,Nice apartment in NeukÃ¶lln,18584587,Karen,NeukÃ¶lln,Schillerpromenade,52.47357,13.42816,Entire home/apt,80,1,0,,,1,0
8630978,ROOM 24mÂ_ NEUKÃ–LLN,45392170,Luis,NeukÃ¶lln,Rixdorf,52.47652,13.4488,Private room,21,7,1,07/01/16,0.03,1,0
8638907,Cozy apartment at the heart of Berlin,45420317,Alice,Mitte,Brunnenstr. SÃ_d,52.53557,13.39981,Entire home/apt,69,2,21,28/02/19,0.54,1,0
8639040,Fully equipped flat in great area,4727692,Sophie,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49065,13.41474,Entire home/apt,80,5,0,,,1,0
8641300,nice room for your weekend in B,45429669,Claudio,Mitte,Parkviertel,52.55219,13.34795,Private room,25,1,0,,,1,0
8642577,Charming 4 room apartment downtown NeukÃ¶lln,45361785,Peter,NeukÃ¶lln,ReuterstraÃŸe,52.48436,13.43447,Entire home/apt,119,3,35,23/02/19,0.86,1,4
8642908,SchÃ¶nes Zimmer in gemÃ_tlicher 2erWG,45435889,Lukas,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.48126,13.42933,Private room,25,1,1,08/10/15,0.02,1,0
8645626,Sunny Flat (78mÂ_) in Vibrant Kiez,45446732,Lea,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49484,13.39944,Entire home/apt,96,5,11,09/05/16,0.27,1,0
8646165,GroÃŸes Zimmer in Altbauwhg. in Berlin SchÃ¶neberg,45448840,Sonja,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-SÃ_d,52.48677,13.34862,Private room,30,2,80,09/12/18,1.94,1,0
8647677,"Big room, best location, cozy and comfortable.",1307841,Heidi,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48879,13.42269,Private room,39,2,33,03/02/19,1.42,1,0
8649599,Vibrant flat in KreuzkÃ¶ln,45461899,Juan Carlos,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.4849,13.42632,Entire home/apt,52,1,2,25/11/15,0.05,1,0
8656888,Spacious lofty flat near the canal,22366996,Chrischa,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.49774,13.42067,Entire home/apt,96,1,0,,,1,0
8657711,Christmas in Berlin - Room for 2!,22130356,Giuseppe,Pankow,Prenzlauer Berg Nordwest,52.54199,13.41175,Private room,30,2,5,12/01/16,0.12,1,0
8657918,Zwei-Zimmer-Altbauwohnung in Prenzlauer Berg,45496227,Carla,Pankow,Helmholtzplatz,52.54323,13.41447,Entire home/apt,23,1,2,26/01/16,0.05,1,0
8658887,1 bdr apartment in Prenzlauer Alle,38532614,J,Pankow,Prenzlauer Berg SÃ_d,52.53982,13.43342,Entire home/apt,62,1,0,,,1,90
8663416,ruhiger Hinterhof in guter Lage,19146007,Frauke,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.46614,13.44588,Private room,55,2,3,09/11/15,0.07,1,0
8663668,Charming and comfortable in Berlin!,7002713,DobromiÅ‚a,Charlottenburg-Wilm.,Grunewald,52.48883,13.29817,Entire home/apt,81,2,54,30/12/18,1.3,1,319
8676968,Ruhiges Landhauserdgeschoss,45572867,Martin,Steglitz - Zehlendorf,Zehlendorf  Nord,52.43587,13.22448,Entire home/apt,58,1,0,,,1,0
8677779,"3,5 - Zimmer Wohnung ohne Balkon",45575503,Jennifer,NeukÃ¶lln,Buckow,52.41656,13.40071,Entire home/apt,65,1,0,,,1,0
8678320,Bepart of our wonderful magicSpace,45577950,Carlo,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ_d FK,52.50945,13.4582,Private room,25,1,1,13/10/15,0.02,2,0
8678997,stilvolles Townhouse mit Garten mitten in Berlin,45528224,Mandy,Pankow,Prenzlauer Berg Ost,52.52281,13.46719,Entire home/apt,275,2,62,03/03/19,1.8,1,223
8679020,Spacious and sunny room in NeukÃ¶lln,41516940,Jonna,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.47105,13.43924,Private room,29,3,6,30/03/16,0.15,2,0
8679726,3e Ã©tage appartement 85 m2 de 1910,3297420,Jean-Daniel,Mitte,Wedding Zentrum,52.55346,13.3724,Private room,35,5,7,15/09/16,0.19,1,189
8680184,luftige Wohung Ã_berm Humboldthain,45585539,Lea,Mitte,Brunnenstr. Nord,52.54611,13.39088,Private room,36,1,1,29/10/15,0.02,1,0
8680431,12qm room in prenzlauerberg,45585945,Stephan,Pankow,Prenzlauer Berg Nord,52.54868,13.43138,Private room,25,1,2,30/12/15,0.05,1,0
